ZCTA5,Zip5,LANDSQMT,WATERSQMT,LANDSQMI,WATERSQMI,POPULATION,HSGUNITS,INTPTLAT,INTPTLON
Z04952,4952,78207328,2822700,30.2,1.09,1829,853,44.412796,-69.154791
Z04953,4953,76224618,19352979,29.43,7.47,3228,1753,44.8603,-69.236698
Z04955,4955,115414644,1595347,44.56,0.62,1362,681,44.647207,-69.993337
Z04956,4956,98267092,1433308,37.94,0.55,760,508,44.807906,-70.10984
Z04957,4957,210941928,4954480,81.45,1.91,4265,2041,44.702067,-69.843372
Z04958,4958,142217834,11985672,54.91,4.63,1954,1490,44.899067,-69.918836
Z04961,4961,757571415,84191890,292.5,32.51,972,1107,45.137779,-70.144293
Z04962,4962,213898,0,0.08,0,125,65,44.489077,-69.625946
Z04963,4963,132085455,22821128,51,8.81,7238,4050,44.589007,-69.887309
Z04964,4964,240427804,85809620,92.83,33.13,221,816,44.866916,-70.774098
Z04965,4965,103942088,3313019,40.13,1.28,1976,935,44.843151,-69.368356
Z04966,4966,516903826,1522371,199.58,0.59,1682,1242,44.814699,-70.427311
Z04967,4967,125724789,1385703,48.54,0.54,4230,1837,44.769841,-69.43367
Z04969,4969,76937416,3409494,29.71,1.32,1362,608,44.785285,-69.236275
Z04970,4970,597141754,42828556,230.56,16.54,1620,2728,45.008278,-70.617949
Z04971,4971,116007384,5979684,44.79,2.31,2005,1259,44.92968,-69.391278
Z04973,4973,97677739,3614078,37.71,1.4,1389,729,44.362192,-69.19393
Z04974,4974,74042852,35950819,28.59,13.88,2611,1508,44.471036,-68.927435
Z04975,4975,142318,0,0.05,0,48,28,44.625354,-69.588334
Z04976,4976,257908035,4722278,99.58,1.82,9903,4858,44.78928,-69.66769
Z04978,4978,39139863,12567288,15.11,4.85,799,605,44.642012,-69.800169
Z04979,4979,113560523,2827138,43.85,1.09,1064,673,44.939541,-69.807536
Z04981,4981,97912862,31859758,37.8,12.3,2316,1282,44.514122,-68.839048
Z04982,4982,138241683,1107386,53.38,0.43,630,658,45.097984,-70.430575
Z04983,4983,389149885,1701315,150.25,0.66,1752,1012,44.979981,-70.368401
Z04984,4984,61096111,590899,23.59,0.23,523,323,44.698619,-70.271152
Z04985,4985,519193363,14897769,200.46,5.75,114,541,45.369441,-69.931095
Z04986,4986,143362761,516693,55.35,0.2,1721,791,44.54946,-69.211292
Z04987,4987,90451120,2598957,34.92,1,1030,476,44.674149,-69.251844
Z04988,4988,128937902,5118169,49.78,1.98,2134,955,44.570148,-69.362441
Z04989,4989,114435388,9171136,44.18,3.54,4215,2000,44.42798,-69.649508
Z04992,4992,154631,0,0.06,0,103,68,44.663657,-70.162677
Z05001,5001,111919352,1841298,43.21,0.71,9123,5151,43.672188,-72.380193
Z05031,5031,25833524,417337,9.97,0.16,218,205,43.699932,-72.589827
Z05032,5032,181174122,970027,69.95,0.37,2664,1414,43.801566,-72.657741
Z05033,5033,74903469,638135,28.92,0.25,2744,1259,44.01218,-72.158312
Z05034,5034,14710739,96589,5.68,0.04,310,181,43.5745,-72.643241
Z05035,5035,82722713,206906,31.94,0.08,638,491,43.61167,-72.6864
Z05036,5036,86424130,748365,33.37,0.29,1037,567,44.023896,-72.587091
Z05037,5037,26949432,130037,10.41,0.05,560,444,43.457745,-72.493459
Z05038,5038,102661608,125016,39.64,0.05,1230,691,43.993916,-72.459992
Z05039,5039,114225399,137932,44.1,0.05,1110,665,44.063296,-72.31308
Z05040,5040,27529209,197308,10.63,0.08,471,249,44.06988,-72.198724
Z05041,5041,15233971,7373,5.88,0,354,159,43.955546,-72.538902
Z05042,5042,61643510,311783,23.8,0.12,605,321,44.222165,-72.096756
Z05043,5043,21188841,857134,8.18,0.33,937,413,43.805098,-72.204673
Z05045,5045,133895973,4715928,51.7,1.82,1758,1115,43.917846,-72.180296
Z05046,5046,154846304,3125422,59.79,1.21,1139,698,44.232453,-72.257516
Z05048,5048,71288603,301848,27.52,0.12,2429,1103,43.580615,-72.427711
Z05050,5050,1118799,0,0.43,0,146,74,44.266812,-72.064006
Z05051,5051,124386223,1861800,48.03,0.72,1549,1009,44.104485,-72.121743
Z05052,5052,6718383,426401,2.59,0.16,348,157,43.596988,-72.359713
Z05053,5053,22614226,51891,8.73,0.02,332,189,43.719447,-72.489226
Z05055,5055,106303595,569186,41.04,0.22,3363,1529,43.777628,-72.323983
Z05056,5056,110894448,1448422,42.82,0.56,567,815,43.50671,-72.704232
Z05058,5058,10624841,2823,4.1,0,346,161,43.881263,-72.272289
Z05059,5059,13695356,408881,5.29,0.16,874,689,43.637817,-72.427734
Z05060,5060,179970527,744458,69.49,0.29,4415,2225,43.967072,-72.708604
Z05061,5061,67027651,103216,25.88,0.04,1679,577,43.916763,-72.570184
Z05062,5062,110481570,479959,42.66,0.19,702,475,43.496493,-72.599969
Z05065,5065,83375669,1020722,32.19,0.39,1064,531,43.782477,-72.423363
Z05067,5067,42601406,20988,16.45,0.01,258,176,43.677373,-72.518063
Z05068,5068,133301036,1554440,51.47,0.6,3125,1691,43.780961,-72.547496
Z05069,5069,31106162,443705,12.01,0.17,555,290,44.204072,-72.131204
Z05070,5070,35445156,41229,13.69,0.02,484,245,43.851588,-72.344406
Z05071,5071,49993625,41173,19.3,0.02,324,263,43.561557,-72.546332
Z05072,5072,67841260,427403,26.19,0.17,526,295,43.898927,-72.372069
Z05075,5075,66407506,635759,25.64,0.25,1113,562,43.847073,-72.288607
Z05076,5076,74677961,145734,28.83,0.06,412,271,44.141855,-72.230959
Z05077,5077,109418659,392720,42.25,0.15,1215,718,43.908796,-72.459306
Z05079,5079,94503797,130034,36.49,0.05,730,435,43.956765,-72.326539
Z05081,5081,24094582,177195,9.3,0.07,550,299,44.122968,-72.065864
Z05083,5083,1865523,0,0.72,0,151,76,43.918897,-72.268095
Z05084,5084,6144723,67809,2.37,0.03,140,58,43.729847,-72.451442
Z05086,5086,63359508,118243,24.46,0.05,793,408,44.10897,-72.300719
Z05089,5089,106311086,861705,41.05,0.33,4979,2515,43.495592,-72.442313
Z05091,5091,173715267,1002921,67.07,0.39,3288,2033,43.634612,-72.577119
Z05101,5101,89069403,1805100,34.39,0.7,4643,2252,43.182144,-72.493221
Z05141,5141,2564606,56681,0.99,0.02,112,65,43.151168,-72.569224
Z05142,5142,69698388,491859,26.91,0.19,680,430,43.397517,-72.580476
Z05143,5143,245690001,1044106,94.86,0.4,4343,2503,43.27763,-72.640348
Z05146,5146,114587038,303912,44.24,0.12,750,514,43.184967,-72.633999
Z05148,5148,69779396,1159104,26.94,0.45,1140,1035,43.231362,-72.791008
Z05149,5149,114079846,1381898,44.05,0.53,2092,3417,43.380553,-72.712123
Z05150,5150,6194900,203890,2.39,0.08,831,416,43.334434,-72.53079
Z05151,5151,72012508,1269106,27.8,0.49,1553,789,43.395317,-72.496973
Z05152,5152,105467078,327699,40.72,0.13,448,772,43.233332,-72.939013
Z05153,5153,32540197,111335,12.56,0.04,687,535,43.418436,-72.642552
Z05154,5154,6863497,148011,2.65,0.06,661,288,43.135197,-72.546165
Z05155,5155,107538268,646013,41.52,0.25,828,1798,43.092921,-72.915891
Z05156,5156,156333531,1064896,60.36,0.41,9226,4241,43.310627,-72.461623
Z05158,5158,29566089,150738,11.42,0.06,1049,491,43.084054,-72.469725
Z05161,5161,89440904,515737,34.53,0.2,552,549,43.321441,-72.802903
Z05201,5201,241102399,908491,93.09,0.35,14851,6739,42.869481,-73.129196
Z05250,5250,237184139,804856,91.58,0.31,3408,1929,43.103754,-73.173044
Z05251,5251,90411653,126681,34.91,0.05,1350,1061,43.264183,-73.063631
